baseMean log2FoldChange lfcSE stat pvalue padj weight
chr1_249167084_249168752 153.764500790324 0.950701938859763 0.156701169429022 6.06697411591675 1.30342553594237e-09 1.23673215284151e-06 5.98549523606804
chr2_133034376_133035055 141.970311841304 1.03909823516921 0.170899270558483 6.08017946345545 1.2004810797122e-09 1.35026363270227e-06 4.92301184571865
chr1_216637718_216638245 34.860529581437 1.77428653759542 0.288686730290901 6.14606198146872 7.94302557464478e-10 1.38248286937463e-06 3.10381958166976
chr1_226105077_226105567 34.9642593533846 1.72065287196893 0.282481690781375 6.09120140568904 1.12066452915659e-09 1.59581719143592e-06 3.70337183587796
chr3_167452219_167453665 181.7355948258 0.795254643312374 0.131113103321429 6.06540935395889 1.31617986518982e-09 1.7816902194074e-06 3.80512312704137
chr2_102577465_102578196 28.4957283293674 -2.00207889248675 0.332439390316633 -6.02238769172287 1.71862620140103e-09 1.85761823791281e-06 4.57310336377556
chr2_198317640_198318826 133.994993911466 0.852031123376137 0.140799458517422 6.05138068248118 1.43609632635024e-09 1.85761823791281e-06 3.80512312704137
chr1_186343849_186345353 174.34228455243 0.757869851872369 0.126999781452774 5.96748941772146 2.40931908601316e-09 1.90229912195351e-06 5.98549523606804
chr6_136609874_136610688 39.7089904361567 1.72218607659603 0.285801974302476 6.0258018888749 1.68273202827262e-09 1.90229912195351e-06 4.16862106423833
chr18_77438740_77440342 127.014525068969 0.864815555980595 0.145315428686721 5.95129893498792 2.66022688369123e-09 2.05083855926624e-06 5.98549523606804
chr7_111878593_111879660 30.5387016777282 1.78611729494115 0.292806739289491 6.09998697186835 1.06077110769054e-09 2.39643291834556e-06 2.00084961859523
chr8_126587440_126588918 31.6671858915537 -1.87007909842936 0.312562303419968 -5.9830602666012 2.18983695445074e-09 2.61938043780747e-06 3.70337183587796
chr11_133894139_133895651 83.9559235941469 1.04003014694102 0.176980936219834 5.87650946568145 4.19007458535249e-09 3.00217114639045e-06 6.06136244800336
chr1_165333637_165334868 85.6601369608528 1.00602033303665 0.172105431598177 5.84537236096916 5.05436366806917e-09 3.48477294438573e-06 6.06136244800336
chr2_133029143_133029386 20.0229985588826 -2.39965898295638 0.406249182606462 -5.90686476600484 3.48679746085068e-09 3.48477294438573e-06 4.1856268371571
chr1_183604246_183605630 119.184531834937 0.848660754162174 0.144228620449231 5.88413555866263 4.00139786418125e-09 3.49117955865743e-06 4.70110458766979
chr11_64917896_64919105 41.4054674127778 -1.48191354702274 0.251132471315063 -5.90092368088703 3.61472097900165e-09 3.59530518020874e-06 3.97653780172579
chr11_90607460_90607915 24.4786766793174 2.02254773152183 0.343076604931076 5.89532396686788 3.73946974419615e-09 3.59530518020874e-06 4.1856268372899
chr12_99037847_99039665 115.137895439916 0.864406256630404 0.148799062928214 5.80921841589435 6.27651622534112e-09 4.07472059001426e-06 5.98549523606804
chr4_184908366_184909588 88.5561199866139 1.07799970627204 0.185328829856565 5.81668651934161 6.0025558267027e-09 4.87598571071945e-06 4.70110458766979
chr8_141520692_141522456 185.094162709459 0.736827195223109 0.127454003874115 5.78112238789191 7.42038808687671e-09 5.65845478911846e-06 4.92301184571865
chr8_11057574_11059532 53.9726997394788 1.25910350615029 0.216658416265293 5.8114682450579 6.1927281355664e-09 6.00780977361388e-06 3.80512312704137
chr1_230219814_230221204 114.965907932442 0.8568910465656 0.149587854309168 5.72834639899691 1.01414319538087e-08 6.15210132478301e-06 5.98549523606804
chr17_79949104_79950405 55.3647394339247 -1.22612750832315 0.211491910221049 -5.79751493587447 6.73047883086101e-09 6.31887380248724e-06 3.80512312704137
chr8_145069397_145070778 115.989594442687 -0.860950625269234 0.150741326330961 -5.71144387690319 1.12021641114429e-08 6.57984124023587e-06 5.98549523606804
chr1_244436906_244438019 98.2497779101279 1.04215437397533 0.181472377233503 5.74277137855737 9.31394402294129e-09 6.85658492318762e-06 4.70110458766979
chr2_9843127_9844282 49.1895256937302 1.29675284209217 0.225648970618693 5.74677047511755 9.09640727675895e-09 7.417146654893e-06 4.17901372314467
chr2_153573665_153575728 176.036075017662 0.730339234043281 0.127720829617334 5.71824686882678 1.07628699674308e-08 7.68313329227093e-06 4.70110458766979
chr4_186316991_186318570 118.023035023928 0.879106066802507 0.15303503215629 5.74447598315071 9.22060810210405e-09 8.01069450729161e-06 3.80512312704137
chr1_226109945_226110580 61.8014061360787 1.15051679057655 0.201255131420735 5.71670785462522 1.08607601244609e-08 9.29686913751047e-06 3.80512312704137
chr10_131908495_131910056 168.929771546439 0.755963475006496 0.133216945747829 5.67467952941578 1.38948528366433e-08 9.4876590754032e-06 4.70110458766979
chr1_228644924_228647221 153.278175326993 0.751976476755672 0.132749040203218 5.66464718392324 1.47327356297114e-08 9.91606958313427e-06 4.70110458766979
chr11_19649245_19650475 52.8995300830466 1.28061224126895 0.225265078012137 5.68491242659437 1.30879708374675e-08 1.01366391854455e-05 3.97653780172579
chr19_47598226_47600328 38.2789078423273 -1.54021125972256 0.270574492419822 -5.69237419960774 1.25284901997675e-08 1.01366391854455e-05 3.80212487314066
chr11_133818062_133818497 24.8708141365031 1.84504129232989 0.325206666762322 5.67344240110042 1.39956172623731e-08 1.06786955531735e-05 3.97653780172579
chr15_74532193_74532982 46.5582596187941 1.37319145387286 0.242868627576478 5.65405037108159 1.56710252299567e-08 1.12239575616551e-05 4.17901372314467
chr1_214600983_214601668 64.8861387734304 1.15467203963242 0.205404163526163 5.62146365395043 1.8934633843965e-08 1.13584452811396e-05 4.92301184571865
chr1_205919051_205921002 101.849013485431 -0.992027388323168 0.176766022330625 -5.61209317969304 1.99893743625928e-08 1.18333811066156e-05 4.92301184571865
chr2_9252043_9253003 60.1281567198583 1.15001717374454 0.206402839797222 5.57171197292811 2.52248205931946e-08 1.19670613383785e-05 5.98549523606804
chr2_47496543_47497326 43.6861142735694 1.37213701750625 0.242779064484344 5.65179300126486 1.58782739461378e-08 1.19670613383785e-05 3.80512312704137
chr4_48946119_48947268 32.947097255022 1.62251181892745 0.290203452090527 5.59094596304569 2.25835860824219e-08 1.51511689114126e-05 4.17901372314467
chr1_232066689_232067436 83.165728494438 1.01276930988599 0.183322365059707 5.52452675131122 3.30374898569142e-08 1.52816795849939e-05 5.98549523606804
chr9_102860320_102862238 148.021198729867 0.768157300567194 0.139435961047907 5.50903292661548 3.60810418340374e-08 1.62771332747723e-05 6.06136244800336
chr10_38265027_38266143 95.9880279095377 0.889467103027996 0.160415283210279 5.54477781186252 2.94327676159216e-08 1.69110844776023e-05 4.70110458766979
chr16_78133091_78134264 123.744717628617 0.860746435148867 0.155599736215626 5.53179880688272 3.16963344557139e-08 1.79922368017263e-05 4.70110458766979
chr10_44796271_44797469 40.3391500845485 1.46229993822504 0.262840573759207 5.56344828087568 2.64495277884331e-08 1.83283785290728e-05 3.80512312704137
chr6_54757555_54758056 27.6517479028183 1.91671544004814 0.34731457072325 5.51867270082209 3.4156968810203e-08 2.12847830382692e-05 4.18162701614218
chr2_187350340_187351636 71.1351663421274 1.05304101496378 0.193733374155169 5.43551682592572 5.46378287555921e-08 2.32395767222885e-05 5.98549523606804
chr8_38691366_38692012 22.2744679529774 1.98249733678597 0.361662911471025 5.48161637233517 4.21457352296812e-08 2.32395767222885e-05 4.61913023642943
chr2_136288021_136289738 145.026845020738 0.881821850449198 0.161194400434562 5.47054890288933 4.48643887853684e-08 2.39568428378501e-05 4.70110458766979
chr3_45034562_45035738 39.0043716960451 1.45603926234842 0.265224183845949 5.48984350233361 4.02290025439118e-08 2.39568428378501e-05 4.17901372314467
chr11_39033299_39033794 16.9074572587414 -2.40992331399387 0.432631037016607 -5.57038933362833 2.54170718590606e-08 2.46542906712649e-05 2.53714108749651
chr1_242369026_242369861 80.8827570584227 0.99714422937537 0.182971246959697 5.4497318346145 5.04458254741776e-08 2.49406106775887e-05 4.92301184571865
chr5_102593923_102595665 87.4222327456964 0.928442391061364 0.171935021242453 5.39996089425042 6.66554252102042e-08 2.68103022163599e-05 5.98549523606804
chr5_93446819_93447746 47.2155998828403 1.29763573625001 0.237635022577794 5.46062496248929 4.74461388337077e-08 2.71068861173276e-05 4.16862106423833
chr6_160721081_160721875 40.5975364670718 1.42660154480009 0.261078334250621 5.46426630495746 4.64825287940826e-08 2.88064433344226e-05 3.80212487314066
chr1_244614346_244615899 193.022965960308 0.647987599409176 0.120745528930536 5.36655564101227 8.02544504532514e-08 3.10367562905355e-05 5.98549523606804
chr3_186038563_186039530 29.9795282073869 1.81363785124142 0.326170443096034 5.56039913986759 2.69158367000302e-08 3.10367562905355e-05 2.00084961859523
chr2_208258855_208260488 79.3753689373776 1.03814223314092 0.193926341743178 5.35328116752576 8.63734770913684e-08 3.25381261015073e-05 6.06136244800336
chr1_217833548_217834512 72.743603856148 1.13547698500107 0.211499411741441 5.36870044059131 7.93060180361124e-08 3.5680373083186e-05 4.92301184571865
chr18_9016854_9018219 65.2609325219887 1.15053564443402 0.212436075586092 5.41591460518085 6.09761998616106e-08 3.5680373083186e-05 3.80512312704137
chr2_129062367_129064205 108.498381213388 0.81049273698791 0.149599645494551 5.41774503748696 6.0355400490335e-08 3.5680373083186e-05 3.80512312704137
chr2_20739200_20740086 30.9862017838382 -1.64555867854278 0.304492359759405 -5.40426919034362 6.50731560019443e-08 3.58863678309085e-05 3.97653780172579
chr2_102133580_102134197 58.4383502046589 1.13699707838787 0.211667243684794 5.37162509698969 7.80302070441882e-08 3.60426568757434e-05 4.70110458766979
chr10_26654584_26655220 22.4287647830383 2.09241887292098 0.385586833848342 5.42658278042752 5.74431899733122e-08 3.74836361694654e-05 3.26375552091871
chr5_129103455_129104061 22.2774171295754 1.96366381412065 0.364757489457197 5.38347771019814 7.30602985131434e-08 3.74836361694654e-05 4.18162701614218
chr20_4693897_4694563 32.0918003004693 -1.57282744161274 0.285370732648413 -5.51152329818813 3.55741328040498e-08 3.75046137616991e-05 2.00084961859523
chr3_115502806_115503793 65.8724384917362 1.13376136140845 0.212531155094739 5.33456547066267 9.57736277878282e-08 4.0650258847351e-05 4.92301184571865
chr8_106861465_106862445 33.6605259464993 1.49474984795584 0.279148217287351 5.35468169018311 8.57071613337807e-08 4.24535155217016e-05 4.17901372314467
chr16_4985117_4985865 35.5900300852304 -1.47377040985416 0.275988567125304 -5.33996906178015 9.29624445824825e-08 4.72230850441235e-05 3.97653780172579
chr16_67474996_67475691 21.3048634947325 -1.90050712989127 0.356533626857505 -5.33051299155815 9.79357267070128e-08 4.72230850441235e-05 4.18162701614218
chr9_124160454_124161261 46.7173718268607 1.29210593729972 0.241633817643815 5.34737210999321 8.9240425452526e-08 4.72230850441235e-05 3.80512312704137
chr17_73840377_73841733 46.7417960588628 -1.25726106902522 0.235566778783733 -5.33717477276145 9.44060312993018e-08 4.95064939735524e-05 3.80512312704137
chr2_235244226_235244957 24.2857778666676 -1.90402752281448 0.359342270721429 -5.2986461041499 1.16664504218036e-07 5.04503080757567e-05 4.57310336377556
chr1_201278514_201279047 45.7845545950404 -1.3216767494067 0.248869308288342 -5.31072617389765 1.09189283348002e-07 5.13408762352032e-05 4.16862106423833
chr1_246771819_246772760 80.0109216999308 0.959432472915514 0.180440113611818 5.31717949911929 1.05388091617381e-07 5.38111282323868e-05 3.80512312704137
chr20_45987508_45988433 40.1297527109758 -1.40063400905238 0.263593501716194 -5.31361357519509 1.07472399098617e-07 5.42103159447584e-05 3.80212487314066
chr7_99551096_99551770 19.6935594185205 -2.14263703757895 0.406082809655033 -5.27635493706103 1.31778737300638e-07 5.42103159447584e-05 4.64151263845805
chr5_137799494_137801521 265.665396796263 0.660439381565045 0.124951283598202 5.28557500608621 1.25310514078668e-07 6.23429083635677e-05 3.80512312704137
chr2_169470835_169471577 20.7857945364358 1.88319969193317 0.358022012512393 5.26001091027322 1.44046854491026e-07 6.24795027800095e-05 4.18562683728989
chr20_61983030_61984737 34.8800944980698 -1.52560330386162 0.282801563335592 -5.39460703776672 6.86736793220543e-08 6.24795027800095e-05 2.00084961859523
chr3_98164733_98165275 34.9213569447899 1.55272405886854 0.294444996442784 5.27339257799296 1.33924657307417e-07 6.24795027800095e-05 3.97653780172579
chr6_150813513_150814590 37.2960167943567 1.35646316215142 0.255208429939153 5.31511894992977 1.06587676161457e-07 6.24795027800095e-05 3.10381958166976
chr7_71709624_71710421 21.8453140730654 1.95014100515913 0.371673766527768 5.24691592677534 1.54666435019223e-07 6.24795027800095e-05 4.61913023642943
chrX_3732438_3733979 120.529241891435 0.760536773430537 0.14647763093098 5.1921700849251 2.07856981015117e-07 6.25336152714081e-05 5.98549523606804
chr13_98084964_98087011 232.531274638264 0.629408707029509 0.12154363571475 5.1784587759631 2.23726497600465e-07 6.40641938341958e-05 6.06136244800336
chr15_53364056_53364767 30.6787900763847 1.70425119455991 0.323256328669173 5.27213558842363 1.34845395141066e-07 6.40641938341958e-05 3.70337183587796
chr2_206639800_206640625 27.3638218201994 1.73451187421428 0.331632778001316 5.23021845026248 1.69309851826509e-07 6.40641938341958e-05 4.57310336377556
chr20_17830139_17831341 64.3297050192236 1.09895346849551 0.210566974439292 5.21902103319793 1.7987133785467e-07 6.40641938341958e-05 4.92301184571865
chr22_50344679_50345564 25.0846739826731 -1.72445917466377 0.329557114799356 -5.23265648721824 1.67091088611477e-07 6.40641938341958e-05 4.57310336377556
chr7_107086969_107087824 20.6612470740381 2.0196435733541 0.385315708122637 5.24152929864798 1.59251184427603e-07 6.53260767823231e-05 4.1856268371571
chr16_76673592_76674217 40.33523503569 1.55968111185829 0.297706461839228 5.23898978283035 1.61457976098887e-07 6.58258502995673e-05 4.17901372314467
chr9_95477739_95478593 45.0929666901625 1.26422287133559 0.241377705866337 5.23752956719065 1.62740235227005e-07 6.58421448096568e-05 4.17901372314467
chr6_80815866_80817015 75.204113529044 1.02627901601044 0.197405580164984 5.1988348817329 2.00541566107577e-07 6.83523913710307e-05 4.92301184571865
chrX_153606558_153608089 63.8434309806947 -1.03128098105461 0.196727830139697 -5.24217127959118 1.5869795043065e-07 6.94552511018962e-05 3.80512312704137
chr18_21002670_21003422 41.3151764575114 -1.34713708634874 0.257993691311955 -5.22158925475368 1.77394092547816e-07 7.03389788673384e-05 4.16862106423833
chr4_8207621_8208537 41.7085791624008 1.33262115531853 0.254549685606745 5.23521037608864 1.64797049565515e-07 7.10560517912554e-05 3.80512312704137
chr20_59269928_59270949 35.5783663963118 1.47487485952021 0.281723731726065 5.23518146832695 1.64822844836094e-07 7.24828566423167e-05 3.70337183587796
chr21_37527940_37529831 63.8037427845657 -0.985267567394239 0.189962300648629 -5.18664789818836 2.14112995013307e-07 7.36337076971112e-05 4.70110458766979
chrX_1510385_1511953 90.379527359559 0.864959704282761 0.165785828236021 5.21733198480246 1.8151874821172e-07 7.65645633933365e-05 3.80512312704137
chr21_44917962_44918447 31.1579198829398 -1.67087359715086 0.313403079702406 -5.33138857071042 9.74646186342923e-08 7.70652561816132e-05 2.00084961859523
chr7_38600670_38601285 27.9471434580458 1.63429046599752 0.316297983033624 5.16693293559128 2.37966599542006e-07 7.70652561816132e-05 4.89603297841886
chr14_28571976_28572449 23.906488128149 1.8030291362009 0.347681176324296 5.1858692934217 2.15009572126737e-07 7.9398851482957e-05 4.18162701614218
chr17_79843645_79844554 38.1451332262321 -1.34563154903529 0.259552644701006 -5.18442626768611 2.16680843791534e-07 7.9398851482957e-05 4.16862106423833
chr3_69511052_69512427 44.3230334389927 1.24072912490983 0.239215654616337 5.18665522496745 2.14104575281306e-07 7.9398851482957e-05 4.16862106423833
chr5_93953597_93955086 58.4041887507311 1.12214822659335 0.215739047260508 5.20141458323185 1.97777365440097e-07 7.9398851482957e-05 3.80512312704137
chr5_179125146_179126425 185.692303645378 0.634374766436624 0.121902022128534 5.2039724637852 1.95072924082592e-07 7.9398851482957e-05 3.80512312704137
chr6_91554653_91555809 35.5492356606699 1.55368322157851 0.298867300949959 5.19857213097611 2.00825194838292e-07 8.2266334084632e-05 3.70337183587796
chr20_48036836_48037851 38.2351879626626 -1.38362861506716 0.267420946970685 -5.17397246079917 2.29168616348064e-07 8.28322602794871e-05 4.16862106423833
chr1_243961871_243962511 65.7231520281552 1.11959184844619 0.215970116626295 5.18401279739774 2.17162022610836e-07 8.54097737377344e-05 3.80512312704137
chr2_19320622_19321560 31.2096775842851 -1.51384382351112 0.292895816244887 -5.16854027797178 2.3592944648333e-07 8.8195187575966e-05 3.97653780172579
chr20_44407557_44408522 51.8619088921831 -1.18745806288915 0.229638523715674 -5.17098805407491 2.32859455080827e-07 8.98348147098928e-05 3.80212487314066
chr3_122770369_122770848 18.4923157730962 2.11954279261153 0.411224114426404 5.15422787296406 2.54678099152408e-07 8.98348147098928e-05 4.18162701614218
chr5_44664755_44666027 63.2746771723066 1.07125310191189 0.210732227554196 5.08348017930188 3.70581266138447e-07 9.02181477667065e-05 5.98549523606804
chr1_244012415_244014646 107.133966014008 0.819647089546708 0.158805379597765 5.16133075354737 2.4520051241628e-07 9.32857594275661e-05 3.80512312704137
chr1_186649105_186650418 77.3363074000004 1.01447663997006 0.19858284749802 5.10858139437331 3.24586574698374e-07 9.93033825352137e-05 4.70110458766979
chr4_120987285_120988773 79.997095242155 0.99605144880721 0.19354522382112 5.14634992867501 2.65603761029451e-07 9.97442642395996e-05 3.80512312704137
chrX_56839111_56840296 32.8628390699886 1.50389566439386 0.292105292081105 5.14847113408782 2.62618190340886e-07 0.000100683199881148 3.70337183587796
chr8_141606784_141608269 94.8159341618245 0.838446650658302 0.164391044392329 5.10031829141069 3.39082774965411e-07 0.000101756060799763 4.70110458766979
chr1_47077255_47077957 38.770671431046 1.31145319455248 0.255206996683401 5.13878228887044 2.76524548370507e-07 0.000101954019320687 3.80212487314066
chr1_149223177_149224839 135.987912825927 0.867867802337393 0.170730113803928 5.0832731437998 3.70985603828097e-07 0.000104318255733206 4.92301184571865
chr22_50342239_50343468 53.9029131411433 -1.19316558096745 0.234287453878658 -5.09274210468567 3.52921611851442e-07 0.000104318255733206 4.70110458766979
chr3_106064039_106064923 30.373110662281 -1.50427226638166 0.293222058374637 -5.13014701117647 2.89515982859262e-07 0.000107548280651564 3.70337183587796
chr15_94109740_94110667 32.4247211130673 1.55004386066601 0.295658692935988 5.24267981189245 1.58261036847428e-07 0.000108143063066204 2.00084961859523
chr1_193073428_193075052 87.2729548460777 0.903348403507601 0.17807898415236 5.07274009792596 3.92127902317916e-07 0.000113342908163749 4.70110458766979
chr1_200638419_200639751 181.80864683411 0.668013336077037 0.131922047315443 5.06369746127217 4.11202038887499e-07 0.000118131473528625 4.70110458766979
chr19_1252328_1253721 76.473786433362 -0.943068531723611 0.186618766003033 -5.05344961775325 4.33900814074209e-07 0.000118312263479182 4.92301184571865
chr19_46803892_46804624 37.6271891415837 -1.3570376540352 0.266488375872784 -5.09229586315249 3.53753505803364e-07 0.000118697527436244 3.97653780172579
chr15_63678014_63678518 18.5756325392456 2.05144476429249 0.403753146889202 5.08093814276931 3.75575412287793e-07 0.000122162828142083 4.05324556093947
chr4_158744744_158745982 20.6354143969702 1.93819447421671 0.383333474675442 5.05615763365755 4.277877808385e-07 0.000122162828142083 4.64151263845805
chr8_110551499_110552899 161.357073381755 0.693819036587719 0.138823445309921 4.99785202015971 5.79724446274184e-07 0.000126937208513263 5.98549523606804
chr5_133844879_133845501 34.642397622318 -1.43051983264154 0.281165926663451 -5.08781362527559 3.62215068348385e-07 0.000127430795889448 3.70337183587796
chr1_241576702_241577239 34.414405718786 -1.49751149307137 0.294670440724691 -5.08198748876373 3.73506019390844e-07 0.0001306346236913 3.70337183587796
chr17_72442825_72443568 26.0771303885386 -1.5908393274081 0.314993178774707 -5.05039294373392 4.40902156049006e-07 0.000135775873626821 4.18162701614218
chr9_79791775_79793353 79.2322419623436 0.905823623441152 0.182133347123439 4.97340897615656 6.57856700009479e-07 0.000138953364896335 6.06136244800336
chr2_203797217_203798331 45.6550384977109 1.2185586039629 0.241651427162011 5.04262945298451 4.59177906770627e-07 0.000139437340821252 4.17901372314467
chrX_47221003_47221855 34.3083909217497 1.42572006519703 0.282230663722829 5.05161291261107 4.38094834669151e-07 0.000139437340821252 3.97653780172579
chr4_30718744_30720018 37.5753270959785 1.34678672122966 0.267340323936454 5.03772383230068 4.71100497800527e-07 0.000149090476640363 3.97653780172579
chr9_2655284_2655998 24.8457042260688 1.7475332705528 0.349997688326346 4.99298517915741 5.94531214888302e-07 0.000151953666552063 4.89603297841886
chr21_11143624_11146687 127.038561568479 -0.767061782519203 0.153721716209827 -4.98993767069436 6.03987780185645e-07 0.000152662156239086 4.92301184571865
chr1_55776074_55776839 23.6774158238595 1.65443972493153 0.326574552384408 5.0660399374416 4.06176734971761e-07 0.000153992126729896 3.26375552091871
chr8_141474089_141475439 161.552248473755 0.63773778370039 0.129577433455659 4.9216732164912 8.58074072379301e-07 0.000176403138657636 5.98549523606804
chr12_52591380_52592090 28.520570675164 -1.58951621407933 0.318562840978788 -4.98964728339163 6.0489639418966e-07 0.000177015481606365 4.18162701614218
chr8_145117998_145118954 55.7398505710602 -1.10523437140729 0.225040630666547 -4.91126588178187 9.04902862214063e-07 0.000181683062972464 6.06136244800336
chr4_174254890_174256809 145.996076555277 0.670668566152298 0.135612800372129 4.94546653643274 7.59617192093222e-07 0.00018675272090792 4.92301184571865
chr10_105456103_105456977 37.908311905812 1.2824967819897 0.258113385796303 4.96873410122873 6.73914056366542e-07 0.000193480175550276 4.16862106423833
chr20_39283207_39284133 22.9952187329156 -1.72583811855747 0.346769578603271 -4.97690173834985 6.46100993925684e-07 0.000193480175550276 3.97653780172579
chr8_110345650_110347026 172.593210291871 0.646878010044716 0.130817476477549 4.94488983783243 7.61869353484956e-07 0.000193480175550276 4.70110458766979
chr16_23568339_23569963 95.2498733714686 0.801120385880819 0.162475938660179 4.93070169335274 8.19347713119388e-07 0.000197128710819639 4.92301184571865
chr18_22146696_22147817 43.7170776238467 1.22194829343268 0.245489915974074 4.97759058079491 6.43806557372378e-07 0.000199334722251551 3.80512312704137
chr12_39820503_39821573 28.5463669537919 1.66193494646549 0.335218910824473 4.95776011674865 7.13105336819776e-07 0.000199657440198345 4.1856268372899
